Activity.Score	MNase.Score	sgRNAscorer.Hg	WU.CRISPR	DNase	H2A.Z	H2AK5ac	H2AK9ac	H2BK120ac	H2BK12ac	H2BK15ac	H2BK20ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me1	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Class	Combined
TM9SF2_chr13_100150902_.	3.493469984	0	97.9880826889	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	77.9880826889
SEC24A_chr5_133985189_.	3.492136801	0.781481504	90.1198625907	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	70.1198625907
ILF2_chr1_153641015_.	3.491543585	2.200000286	6.65097454492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	-13.34902545508
RAB1B_chr11_66035644_.	3.489982018	0.95652163	98.9402655936	72	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	85.4701327968
GBF1_chr10_104001272_.	3.484105028	0	56.8372263142	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	36.8372263142
ST3GAL4_chr11_126270178_.	3.478276256	1.882142901	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40.5
ST3GAL4_chr11_126270178_..1	3.478276256	1.882142901	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40.5
SEC24C_chr10_75508972_.	3.475383254	0.899999976	31.5775928595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	11.5775928595
SEC24C_chr10_75508972_..1	3.475383254	0.899999976	31.5775928595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	11.5775928595
RAB2A_chr8_61427617_.	3.474073887	NA	30.9733576827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10.9733576827
TRAPPC11_chr4_184580443_.	3.473877289	0	56.7547099409	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	36.7547099409
VPS54_chr2_64245013_.	3.454735621	0.523076952	28.4062799458	46	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	37.2031399729
SCFD1_chr14_31090844_.	3.449507652	0.349999964	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	-20
ST3GAL4_chr11_126225186_.	3.449093411	0.403846145	33.4324414707	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	13.4324414707
ST3GAL4_chr11_126225186_..1	3.449093411	0.403846145	33.4324414707	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	13.4324414707
ST3GAL4_chr11_126225186_..2	3.449093411	0.403846145	33.4324414707	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	13.4324414707
RAB1B_chr11_66039776_.	3.448191534	1.076923132	49.1976038543	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32.09880192715
SURF4_chr9_136245123_.	3.448136289	1.510714293	3.09952588112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-16.90047411888
RAB1A_chr2_65353707_.	3.441425467	0.300000012	6.41658822449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	-13.58341177551
TM9SF2_chr13_100151101_.	3.438350699	0.399999946	99.3755966122	78	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	88.6877983061
TM9SF2_chr13_100151101_..1	3.438350699	0.399999946	99.3755966122	78	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	88.6877983061
TM9SF2_chr13_100151101_..2	3.438350699	0.399999946	99.3755966122	78	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	88.6877983061
CREBBP_chr16_3929898_.	3.437339008	0	83.3073948755	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	63.3073948755
CREBBP_chr16_3929898_..1	3.437339008	0	83.3073948755	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	63.3073948755
CREBBP_chr16_3929898_..2	3.437339008	0	83.3073948755	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	63.3073948755
RAB1A_chr2_65361936_.	3.437286933	0.899999917	78.8937644095	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	72.44688220475
SEC24A_chr5_133985899_.	3.434576735	0.784000039	87.3508815204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	67.3508815204
SEC24A_chr5_133985899_..1	3.434576735	0.784000039	87.3508815204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	0	1	67.3508815204
ST3GAL4_chr11_126277259_.	3.434574564	0.616666675	40.3128616774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20.3128616774
ST3GAL4_chr11_126277259_..1	3.434574564	0.616666675	40.3128616774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20.3128616774
TRAPPC11_chr4_184580437_.	3.425949721	0	3.0433719774	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	-16.9566280226
TRAPPC11_chr4_184580437_..1	3.425949721	0	3.0433719774	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	-16.9566280226
ARF1_chr1_228265868_.	3.424365412	3.92592597	86.2081882937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	66.2081882937
SURF4_chr9_136242238_.	3.423386048	0.900000036	97.5079907779	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	83.75399538895
SURF4_chr9_136242238_..1	3.423386048	0.900000036	97.5079907779	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	83.75399538895
SURF4_chr9_136242238_..2	3.423386048	0.900000036	97.5079907779	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	83.75399538895
SMC3_chr10_112327564_.	3.422782858	0.185185164	66.3511650552	43	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	54.6755825276
SMC3_chr10_112327564_..1	3.422782858	0.185185164	66.3511650552	43	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	54.6755825276
ARF1_chr1_228269997_.	3.421764486	0	11.8583181334	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-8.1416818666
SEC16A_chr9_139373461_.	3.420649103	1.642856956	7.97001978844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	-12.02998021156
SEC16A_chr9_139373461_..1	3.420649103	1.642856956	7.97001978844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	-12.02998021156
SEC16A_chr9_139373461_..2	3.420649103	1.642856956	7.97001978844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	-12.02998021156
RAB2A_chr8_61432519_.	3.41989531	1.176923037	43.3344800086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	23.3344800086
SEC22B_chr1_145094327_.	3.41930537	1.260714412	10.0221629097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-9.9778370903
SEC22B_chr1_145094327_..1	3.41930537	1.260714412	10.0221629097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-9.9778370903
ARF1_chr1_228269757_.	3.417634512	0	86.2888611376	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	66.2888611376
ARF1_chr1_228269757_..1	3.417634512	0	86.2888611376	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	1	0	0	0	0	1	66.2888611376
SEC24A_chr5_133979547_.	3.411726839	0.945833385	35.0257670096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15.0257670096
VPS54_chr2_64246685_.	3.408380321	0.003571429	10.4190379063	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-9.5809620937
VPS54_chr2_64246685_..1	3.408380321	0.003571429	10.4190379063	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-9.5809620937
EIF6_chr20_33873186_.	3.407556178	2.137500048	46.2322869092	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	26.2322869092
VPS54_chr2_64246125_.	3.404788869	0	9.61857746639	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-10.38142253361
VPS54_chr2_64246125_..1	3.404788869	0	9.61857746639	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-10.38142253361
COPA_chr1_160309717_.	3.398916102	2.296296358	70.9187670918	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	65.4593835459
PRKDC_chr8_48872575_.	3.398875422	0.171428546	39.2244050839	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	19.2244050839
PRKDC_chr8_48872575_..1	3.398875422	0.171428546	39.2244050839	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	19.2244050839
CARM1_chr19_10982609_.	3.396881422	0	68.3162935916	52	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	60.1581467958
ST3GAL4_chr11_126279191_.	3.395632521	1.838461638	60.5933067349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	40.5933067349
VPS54_chr2_64246122_.	3.392782745	0	92.5607323088	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	72.5607323088
TRAPPC8_chr18_29522495_.	3.39264819	0.603703678	84.0604397407	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	64.0604397407
TRAPPC8_chr18_29522495_..1	3.39264819	0.603703678	84.0604397407	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	64.0604397407
TRAPPC8_chr18_29522495_..2	3.39264819	0.603703678	84.0604397407	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	64.0604397407
SEC24C_chr10_75504205_.	3.39212448	0.176000029	84.1020297627	47	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	65.55101488135
SEC16A_chr9_139377318_.	3.388696736	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-20
SEC16A_chr9_139377318_..1	3.388696736	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-20
SEC16A_chr9_139377318_..2	3.388696736	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-20
MCL1_chr1_150551403_.	3.388012828	0.296296299	66.2088814607	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	46.2088814607
TM9SF2_chr13_100150712_.	3.382391239	0	4.6576400096	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	1	1	1	1	-15.3423599904
CARM1_chr19_10983136_.	3.382170678	0.261538446	68.9537491672	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	48.9537491672
CARM1_chr19_10983136_..1	3.382170678	0.261538446	68.9537491672	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	48.9537491672
RAB1B_chr11_66035081_.	3.376938551	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
RAB1B_chr11_66035081_..1	3.376938551	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
TRAPPC11_chr4_184585091_.	3.376916924	2.269230843	33.1201476003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	13.1201476003
TRAPPC11_chr4_184585091_..1	3.376916924	2.269230843	33.1201476003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	13.1201476003
VPS53_chr17_617888_.	3.376600157	0	33.5005783152	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	13.5005783152
ARF1_chr1_228270220_.	3.374318749	0	82.8281878586	47	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	64.9140939293
ARF1_chr1_228270220_..1	3.374318749	0	82.8281878586	47	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	64.9140939293
RAB1B_chr11_66036156_.	3.373605332	0.062962972	23.0768578443	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	3.0768578443
RAB1B_chr11_66036156_..1	3.373605332	0.062962972	23.0768578443	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	3.0768578443
RAB1B_chr11_66036156_..2	3.373605332	0.062962972	23.0768578443	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	3.0768578443
RAB1B_chr11_66036156_..3	3.373605332	0.062962972	23.0768578443	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	3.0768578443
CARM1_chr19_10983854_.	3.368992273	1.411538482	58.2291647079	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	1	1	38.2291647079
SURF4_chr9_136243179_.	3.368722888	0	39.569292553	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	19.569292553
SEC24A_chr5_133984775_.	3.368391734	0.942857087	35.8974982938	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	15.8974982938
SEC24A_chr5_133984775_..1	3.368391734	0.942857087	35.8974982938	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	15.8974982938
SEC24A_chr5_133984775_..2	3.368391734	0.942857087	35.8974982938	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	15.8974982938
SAR1A_chr10_71930498_.	3.366309476	0	4.93730341064	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	-15.06269658936
SAR1A_chr10_71930498_..1	3.366309476	0	4.93730341064	0	1	1	0	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	-15.06269658936
CARM1_chr19_10982482_.	3.363620735	0	68.9094307218	27	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	47.9547153609
CARM1_chr19_10982482_..1	3.363620735	0	68.9094307218	27	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	47.9547153609
EIF6_chr20_33875796_.	3.362697585	0.764285743	99.9832976242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	79.9832976242
EIF6_chr20_33875796_..1	3.362697585	0.764285743	99.9832976242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	79.9832976242
VPS54_chr2_64246148_.	3.358133869	0	80.2895004736	73	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	76.6447502368
UGP2_chr2_64066958_.	3.356730463	1.677777767	1.80971901294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-18.19028098706
UGP2_chr2_64066958_..1	3.356730463	1.677777767	1.80971901294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-18.19028098706
SURF4_chr9_136242628_.	3.356065996	0	94.7036876855	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	74.7036876855
SYNCRIP_chr6_86349315_.	3.353900699	0.678571582	9.29610731406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	-10.70389268594
SYNCRIP_chr6_86349315_..1	3.353900699	0.678571582	9.29610731406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	-10.70389268594
SYNCRIP_chr6_86349315_..2	3.353900699	0.678571582	9.29610731406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	-10.70389268594
SEC24A_chr5_133984818_.	3.352433989	0.5	16.8558312124	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-3.1441687876
VPS54_chr2_64250600_.	3.344451196	0.672000051	40.6439226765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20.6439226765
ILF2_chr1_153643196_.	3.34249742	0.121428572	14.0669031546	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-5.9330968454
ILF2_chr1_153643196_..1	3.34249742	0.121428572	14.0669031546	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-5.9330968454
SEC22B_chr1_145092644_.	3.34136144	0.879999995	42.3504040463	0	1	1	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	22.3504040463
SCFD1_chr14_31091479_.	3.338142894	0.099999987	78.9809264767	0	1	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	58.9809264767
MCL1_chr1_150551311_.	3.337904907	0.508695662	36.4058330743	15	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	25.70291653715
CARM1_chr19_10982442_.	3.335337388	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	-20
CARM1_chr19_10982442_..1	3.335337388	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	-20
CARM1_chr19_10982442_..2	3.335337388	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	1	1	1	1	-20
SEC23B_chr20_18487689_.	3.335193714	0.363636374	0	0	1	1	0	1	1	1	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	-20
COG3_chr13_46039267_.	3.334252027	0	97.0829466531	61	1	1	1	1	1	0	0	0	1	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	79.04147332655
UGP2_chr2_64067273_.	3.333982448	2.060869694	95.2503310057	66	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	1	1	1	80.62516550285
ARF1_chr1_228270660_.	3.332897936	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	-20
VPS54_chr2_64246605_.	3.330817504	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	-20
VPS54_chr2_64246605_..1	3.330817504	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	-20
VPS54_chr2_64246605_..2	3.330817504	0	0	0	1	1	0	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	1	-20
VPS53_chr17_617873_.	3.330085378	0	63.2668667265	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	43.2668667265
VPS53_chr17_617873_..1	3.330085378	0	63.2668667265	0	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	43.2668667265
TRAPPC11_chr4_184585196_.	3.32756143	1.588000059	36.5359862458	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	37.7679931229
TRAPPC11_chr4_184585196_..1	3.32756143	1.588000059	36.5359862458	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	37.7679931229
IGF2R_chr6_160390301_.	3.32732576	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
IGF2R_chr6_160390301_..1	3.32732576	0	0	0	1	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	-20
EIF6_chr20_33872807_.	3.325498199	0.904347956	66.5018920142	0	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	46.5018920142
SEC24A_chr5_133984819_.	3.323230492	0.5	21.8183541044	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1.8183541044
SEC24A_chr5_133984851_.	3.322635419	0.216000006	27.8425286733	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	7.8425286733
SEC24A_chr5_133984851_..1	3.322635419	0.216000006	27.8425286733	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	7.8425286733
VPS54_chr2_64246863_.	3.321887379	0.344444424	63.931901501	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	43.931901501
