Actual	sgRNAscorer.Hg	sgRNAscorer.Mm	WU.CRISPR	Combined	State	DNase	H2A.Z	H2BK120ac	H2BK5ac	H3K14ac	H3K18ac	H3K23ac	H3K23me2	H3K27ac	H3K27me3	H3K36me3	H3K4ac	H3K4me1	H3K4me2	H3K4me3	H3K56ac	H3K79me1	H3K79me2	H3K9ac	H3K9me3	H3T11ph	H4K12ac	H4K20me1	H4K5ac	H4K8ac	H4K91ac	Class
AMHR2_chr12_53819239	4.07740152	67.4995363524	68.3112558315	56	61.7497681762	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
VHL_chr3_10183729	3.18224154	79.6224378168	80.3681908397	0	59.6224378168	3_PromD1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	1	1	1
POT1_chr7_124503593	2.14117406	46.3712521509	47.0996622351	55	50.68562607545	8_TxWk	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SSTR2_chr17_71165465	0.168491997	70.4165896993	71.2104230877	73	71.70829484965	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GALR1_chr18_74962577	3.828429635	89.8383187897	90.4189836034	84	86.91915939485	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CNTFR_chr9_34564803	1.66520596	46.8684520142	47.5931779824	0	26.8684520142	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OR5AP2_chr11_56409837	6.4453125	99.6500981311	99.6884617833	85	92.32504906555	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OR52E2_chr11_5080357	0.064315575	20.3047612095	20.5867613998	0	0.304761209500001	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBFA2T3_chr16_88968014	4.336947456	95.2981521568	95.6619482972	90	92.6490760784	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SLC6A11_chr3_10885902	0	24.8995553039	25.3019729656	41	32.94977765195	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUBP1_chr1_78428479	0.055463117	26.6919082704	27.1430368996	0	6.6919082704	6_Tx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CHRM4_chr11_46408042	3.224351747	79.3748518263	80.1256029034	66	72.68742591315	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ACKR2_chr3_42906210	0.059189109	34.5706364859	35.163289627	50	42.28531824295	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPOR_chr19_11492715	0.039798835	2.32074534629	2.18457167062	0	-17.67925465371	2_PromU	1	1	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
OR2B11_chr1_247614927	0.030448352	20.3047612095	20.5867613998	0	0.304761209500001	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR2A_chr13_47466600	2.826455625	91.5692084881	92.0999438887	72	81.78460424405	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TLX3_chr5_170736480	0	67.9590176053	68.7734970485	49	58.47950880265	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA2D4_chr12_2024075	0.028893383	20.2993596685	20.5807259642	0	0.299359668499999	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNGA2_chrX_150911917	0.086092197	66.6006314457	67.3952595859	63	64.80031572285	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRND_chr2_233391300	2.622662818	90.7184565677	91.2734915617	60	75.35922828385	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CCR1_chr3_46245615	0.240506329	45.6198664621	46.3219689128	0	25.6198664621	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNH7_chr2_163374306	0.116654702	13.5497931744	13.6490463646	0	-6.4502068256	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADORA3_chr1_112045892	0.148008611	56.3374455099	57.1064511858	51	53.66872275495	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAFAH1B2_chr11_117038250	0.247698933	5.82828114117	5.73048158387	0	-14.17171885883	6_Tx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SLC6A16_chr19_49814467	1.733361866	37.4547643988	38.0696628276	0	17.4547643988	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OR51B6_chr11_5372941	6.023770935	53.1077664573	53.8795049041	76	64.55388322865	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PTGIR_chr19_47127447	3.300516462	90.6977352979	91.2537392267	0	70.6977352979	17_EnhW2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CYSLTR1_chrX_77529187	1.927194861	83.2212651847	83.9405469348	0	63.2212651847	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KCNK1_chr1_233750169	1.714368735	69.368801363	70.1773393897	0	49.368801363	2_PromU	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1
MDM4_chr1_204518417	0	5.93314109009	5.83308399059	0	-14.06685890991	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEBPA_chr19_33793296	3.042328042	99.2750505219	99.3522697262	86	92.63752526095	1_TssA	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1
NCOA2_chr8_71078955	1.663982823	94.8361083981	95.2303231994	73	83.91805419905	7_Tx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LGR5_chr12_71833969	3.00407332	90.7093126622	91.2648590598	64	77.3546563311	2_PromU	1	1	0	0	0	1	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1
OR5C1_chr9_125551363	0.079096858	15.5783391202	15.7277601511	0	-4.4216608798	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRGPRX4_chr11_18195076	0.142869899	15.3785927161	15.5213116721	0	-4.6214072839	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR6C4_chr12_55945607	0.0951978	30.8475552404	31.3646229828	41	35.9237776202	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPC3_chrX_133119446	0.028766335	25.3077127	25.7282941957	0	5.3077127	23_PromBiv	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
EWSR1_chr22_29695707	3.400987383	89.7798789096	90.3611897343	0	69.7798789096	6_Tx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
KCNJ9_chr1_160053937	2.478460994	64.4815682093	65.3101445798	67	65.74078410465	23_PromBiv	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1
GABRB1_chr4_47034436	0.244413408	82.128273509	82.8578995074	46	64.0641367545	23_PromBiv	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0
ABCC9_chr12_22068672	0	16.0917620417	16.2592076973	0	-3.9082379583	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP2_chr12_50344858	2.487040596	72.8476149708	73.6479343813	60	66.4238074854	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPR50_chrX_150345277	0.043821209	47.5003032606	48.2349459774	55	51.2501516303	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
RUNX1_chr21_36259379	3.276595745	93.2476313413	93.7054795172	68	80.62381567065	3_PromD1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	0	0	1	1
TACR2_chr10_71175918	2.447791852	36.6707482406	37.278801282	31	33.8353741203	22_PromP	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
OR5M11_chr11_56310479	6.23853211	99.6704138244	99.7065315119	88	93.8352069122	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCC8_chr11_17483303	0.068568294	32.3523176298	32.8803220655	0	12.3523176298	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAX_chr14_65569033	3.321488501	90.7129997209	91.2682974292	73	81.85649986045	3_PromD1	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	1
TRPM4_chr19_49669405	5.170278638	93.6017733277	94.0427323478	69	81.30088666385	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
GPR157_chr1_9189031	2.749696725	66.8920934345	67.692495649	50	58.44604671725	1_TssA	1	1	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1
AR_chrX_66765069	0.247785418	49.6296165201	50.3641013748	0	29.6296165201	23_PromBiv	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
GPR174_chrX_78426836	0.091774693	28.6297894431	29.1128933732	0	8.6297894431	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIC_chr19_42793464	0.144660705	17.3482747699	17.5495838476	0	-2.6517252301	6_Tx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OR11A1_chr6_29395097	2.170100833	64.7605679398	65.5795810603	0	44.7605679398	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MRGPRG_chr11_3239952	0.279827016	20.2951932922	20.5764097132	0	0.2951932922	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCN10A_chr3_38835447	0.120385233	10.9755256732	11.0127680556	0	-9.0244743268	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KMT2A_chr11_118342382	3.229278794	93.416498629	93.8674120856	76	84.7082493145	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LPAR4_chrX_78010794	0.120385233	27.1806647693	27.6472335392	0	7.1806647693	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSMR_chr5_38883960	0	20.3047612095	20.5867613998	0	0.304761209500001	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4K17_chr14_20585632	1.89701897	16.589219999	16.7673913823	42	29.2946099995	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OR10G3_chr14_22038148	0.20715943	7.4869782305	7.40741824545	0	-12.5130217695	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JAK1_chr1_65349035	0.231687756	20.2847589161	20.5666432809	0	0.284758916099999	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR143_chrX_9733777	0.083273852	53.960804354	54.7329520889	48	50.980402177	24_ReprPC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AQP5_chr12_50355890	0.250744397	40.3992125917	41.0538748594	0	20.3992125917	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNT1_chr9_138641962	2.163110202	87.2222769136	87.8605075472	65	76.1111384568	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SCN4B_chr11_118015871	1.579520697	94.9335757943	95.3238907418	57	75.96678789715	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FGFR1OP_chr6_167416690	0	51.7073846992	52.471821831	54	52.8536923496	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A3_chr5_1443271	0.077609624	61.7370692087	62.5485486789	77	69.36853460435	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR52A5_chr11_5153530	0.189419564	7.03693584776	6.94832277071	0	-12.96306415224	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPRC5B_chr16_19884020	2.307771913	77.7411161243	78.5001686264	50	63.87055806215	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GABRD_chr1_1956387	3.331953642	94.9486189937	95.3370589651	76	85.47430949685	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PALB2_chr16_23614906	2.676977989	86.6384680419	87.2888969199	78	82.31923402095	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HTR1A_chr5_63257467	1.494451927	71.9459447701	72.756591976	0	51.9459447701	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
MSH2_chr2_47630381	0.183038438	18.8475803124	19.1005810844	0	-1.1524196876	3_PromD1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	0
OR10C1_chr6_29407999	1.745125498	45.1583573269	45.8602397933	56	50.57917866345	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TNFRSF21_chr6_47254032	0.156801254	26.4115811988	26.8550185928	37	31.7057905994	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDH1_chr2_209113106	3.606840063	68.0264907792	68.8390821163	0	48.0264907792	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FOXO4_chrX_70316416	1.895277867	49.9220740148	50.6671168248	60	54.9610370074	2_PromU	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1
GPR39_chr2_133175219	0.150630766	29.1838068807	29.6856013525	0	9.1838068807	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCOLN1_chr19_7589969	0.219622822	76.8182822067	77.573710959	30	53.40914110335	8_TxWk	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERBB3_chr12_56477568	1.962101868	47.8433103298	48.5769174213	0	27.8433103298	18_EnhAc	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PAX7_chr1_18958105	2.70188221	36.525441258	37.1368039405	0	16.525441258	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
RECQL4_chr8_145742475	3.17590052	90.7093126622	91.2648590598	86	88.3546563311	4_PromD2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1
FANCF_chr11_22647249	8.109901779	92.6941116567	93.1813476506	0	72.6941116567	1_TssA	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	1	1	0	1
MC3R_chr20_54824354	3.722772277	93.1813011556	93.6390165678	0	73.1813011556	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MLH1_chr3_37035043	0.079145231	20.3093515975	20.5922481596	0	0.309351597500001	1_TssA	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	1	1	0	1	1	1	0
CTNNB1_chr3_41266954	0.145205864	36.4368412378	37.0482476387	0	16.4368412378	6_Tx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
CLCA2_chr1_86905867	3.592666006	97.4712676735	97.6879891904	91	94.23563383675	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CXCR6_chr3_45988493	3.601108033	83.3920128723	84.1100146533	0	63.3920128723	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CLCN7_chr16_1515311	0.070944348	4.98328103241	4.87326682405	0	-15.01671896759	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNQ4_chr1_41249989	4.166009153	90.7238396734	91.2785028023	49	69.8619198367	23_PromBiv	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1
ACVR1_chr2_158636893	6.263396047	44.268743808	44.9615817085	22	33.134371904	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EPHB4_chr7_100421316	4.098703471	90.408780509	90.9689032406	0	70.408780509	6_Tx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
CNGB3_chr8_87680282	0.051473427	8.46331136952	8.4076545419	35	21.73165568476	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR56A4_chr11_6023761	0.055644862	0.564894260688	0.508293420205	61	30.782447130344	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAMP2_chr17_40913286	0.116144019	62.6668716671	63.4852482978	0	42.6668716671	1_TssA	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
KIAA1549_chr7_138603924	2.487562189	90.7029340507	91.2592259865	85	87.85146702535	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPR142_chr17_72363845	3.010969331	83.7428733764	84.4560828779	55	69.3714366882	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HRH1_chr3_11300869	3.008496619	69.9954907272	70.7944535443	69	69.4977453636	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CBLB_chr3_105586350	0.123127437	6.78750632791	6.69223740551	0	-13.21249367209	3_PromD1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	1	0	1	1	0	0
NFIB_chr9_14307457	0.066474629	20.3047612095	20.5867613998	48	34.15238060475	12_TxEnhW	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
OPRK1_chr8_54163569	2.527981474	80.2640966393	81.0024236847	61	70.63204831965	23_PromBiv	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
DEK_chr6_18250048	0.051156129	13.3366811826	13.4281859968	0	-6.6633188174	6_Tx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
P2RX6_chr22_21377298	6.424825175	96.4984003696	96.7885629591	37	66.7492001848	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
P2RX2_chr12_133195470	0	77.9453054341	78.6967409379	68	72.97265271705	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF3R_chr1_36938254	3.628745917	92.6861291746	93.1735930302	42	67.3430645873	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASIC5_chr4_156784776	0.287218765	9.26012162132	9.23129033226	0	-10.73987837868	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL2RA_chr10_6067815	2.834799609	90.7151013443	91.2699434571	51	70.85755067215	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MUTYH_chr1_45799166	5.007473842	90.7062524035	91.2617864743	0	70.7062524035	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MLLT3_chr9_20620709	0.114926988	17.457669801	17.660709021	0	-2.542330199	3_PromD1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0
GPR25_chr1_200842201	0.197889182	25.4242606249	25.8487468607	76	50.71213031245	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRLHR_chr10_120354468	0	10.0354731916	10.0362711396	0	-9.9645268084	24_ReprPC	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
BRD3_chr9_136918569	4.062229905	90.6931633452	91.2494229758	0	70.6931633452	6_Tx	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OR52B2_chr11_6191343	2.653748947	91.7592579278	92.282067733	27	59.3796289639	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OR4K1_chr14_20404414	1.991134365	90.7154884855	91.2704189763	71	80.85774424275	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ZNF331_chr19_54074874	0	20.2816617868	20.564082793	0	0.281661786800001	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNG5_chr17_64873516	3.707544724	91.4766264445	92.0065592383	90	90.73831322225	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GRM8_chr7_126883184	5.748409421	93.4044419471	93.8565483014	78	85.70222097355	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
SLC6A2_chr16_55690612	8.520179372	61.481113595	62.2834650278	0	41.481113595	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1
NT5C2_chr10_104849578	3.976234004	94.3874117917	94.7997588752	81	87.69370589585	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EDAR_chr2_109546671	2.75042037	92.014863271	92.5256798644	88	90.0074316355	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MTCP1_chrX_154294216	0.083006339	43.0638499013	43.7512025148	0	23.0638499013	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LCP1_chr13_46730610	0	11.497391959	11.5400822429	0	-8.502608041	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVRL1_chr12_52307061	2.148050231	90.7093126622	91.2648590598	61	75.8546563311	17_EnhW2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CASC5_chr15_40914351	0.113708149	15.5290431456	15.6753433066	0	-4.4709568544	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRHR1_chr17_43912034	0.226654578	93.3368212908	93.7932310943	81	87.1684106454	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR8I2_chr11_55861244	3.578066915	63.7689335072	64.5927324575	0	43.7689335072	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GPR101_chrX_136113719	0.076589226	20.2872292455	20.568764828	0	0.287229245500001	23_PromBiv	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FBXW7_chr4_153303456	0.093826234	15.3269554592	15.4669561725	0	-4.6730445408	16_EnhW1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNH8_chr3_19389364	0.039666799	2.09852631952	1.97014910087	0	-17.90147368048	25_Quies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCR7_chr17_38711954	0.073556455	24.5731768693	24.9614280792	0	4.5731768693	8_TxWk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETV6_chr12_12022434	0.165115581	36.191873059	36.7952348589	67	51.5959365295	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARS_chr11_3062141	0.027517887	49.0020422618	49.7356479168	0	29.0020422618	7_Tx3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
